id,paragraph,tokens
1,CHAPTER XIII. A CHOICE OF EVILS,choice evils 
2," Not even his morning tub could brace Ventimore's spirits to their usual cheerfulness. After sending away his breakfast almost untasted he stood at his window, looking drearily out over the crude green turf of Vincent Square at the indigo masses of the Abbey and the Victoria Tower and the huge gasometers to the right which loomed faintly through a dun-coloured haze.",morning tub brace spirit usual cheerfulness send breakfast untasted stand window look crude green turf indigo mass huge gasometer right loom dun coloured haze 
3,"He felt a positive loathing for his office, to which he had gone with such high hopes and enthusiasm of late. There was no work for him to do there any longer, and the sight of his drawing-table and materials would, he knew, be intolerable in their mute mockery.",feel positive loathing office go such high hope enthusiasm late be work do sight draw table material know intolerable mute mockery 
4,"Nor could he with any decency present himself again at Cottesmore Gardens while the situation still remained unchanged, as it must do until he had seen Fakrash.",decency present situation remain unchanged do see 
5,"When would the Jinnee return, or--horrible suspicion!--did he never intend to return at all?",return horrible suspicion intend return 
6,"""Fakrash!"" he groaned aloud, ""you _can't_ really mean to leave me in such a regular deuce of a hole as this?""",groan _can't_ mean leave regular deuce hole 
7,"""At thy service!"" said a well-known voice behind him, and he turned to see the Jinnee standing smiling on the hearthrug--and at this accomplishment of his dearest desire all his indignation surged back.",service say know voice turn see standing smile hearthrug accomplishment dearest desire indignation surge 
8,"""Oh, _there_ you are!"" he said irritably. ""Where on earth have you been all this time?""",say earth time 
9,"""Nowhere on earth,"" was the bland reply; ""but in the regions of the air, seeking to promote thy welfare.""",earth bland reply region air seek promote welfare 
10,"""If you have been as brilliantly successful up there as you have down here,"" retorted Horace, ""I have much to thank you for.""",successful have retort have much thank 
11,"""I am more than repaid,"" answered the Jinnee, who, like many highly estimable persons, was almost impervious to irony, ""by such assurances of thy gratitude.""",more repaid answer many estimable person impervious irony such assurance gratitude 
12,"""I'm _not_ grateful,"" said Horace, fuming. ""I'm devilish annoyed!""",grateful say fume devilish annoyed 
13,"""Well hath it been written,"" replied the Jinnee:--",write reply 
14,"     ""'Be disregardful of thine affairs, and commit them to the course       of Fate,     For often a thing that enrages thee may eventually be to thee       pleasing.'""",disregardful affair commit course thing enrage pleasing 
15," ""I don't see the remotest chance of that, in my case,"" said Horace.",see remotest chance case say 
16,"""Why is thy countenance thus troubled, and what new complaint hast thou against me?""",countenance trouble new complaint 
17,"""What the devil do you mean by turning a distinguished and perfectly inoffensive scholar into a wall-eyed mule?"" Horace broke out. ""If that is your idea of a practical joke----!""",mean turn distinguished inoffensive scholar wall eyed mule break idea practical joke 
18,"""It is one of the easiest affairs possible,"" said the Jinnee, complacently running his fingers through the thin strands of his beard. ""I have accomplished such transformations on several occasions.""",easy affair possible say run finger thin strand beard accomplish such transformation several occasion 
19,"""Then you ought to be ashamed of yourself, that's all. The question is now--how do you propose to restore him again?""",ashamed question propose restore 
20,"""Far from undoing be that which is accomplished!"" was the sententious answer.",undoing accomplish sententious answer 
