id,paragraph,tokens
1,CHAPTER IX. The pride of Perks.,pride perk 
2, It was breakfast-time. Mother’s face was very bright as she poured the milk and ladled out the porridge.,breakfast time mother face bright pour milk ladl porridge 
3,"“I’ve sold another story, Chickies,” she said; “the one about the King of the Mussels, so there’ll be buns for tea. You can go and get them as soon as they’re baked. About eleven, isn’t it?”",sell story say one bun tea go get bake 
4,"Peter, Phyllis, and Bobbie exchanged glances with each other, six glances in all. Then Bobbie said:--",exchange glance other glance say 
5,"“Mother, would you mind if we didn’t have the buns for tea to-night, but on the fifteenth? That’s next Thursday.”",mother mind have bun tea night fifteenth next 
6,"“_I_ don’t mind when you have them, dear,” said Mother, “but why?”",mind have dear say mother 
7,"“Because it’s Perks’s birthday,” said Bobbie; “he’s thirty-two, and he says he doesn’t keep his birthday any more, because he’s got other things to keep--not rabbits or secrets--but the kids and the missus.”",perk birthday say say keep birthday get other thing keep rabbit secret kid missus 
8,"“You mean his wife and children,” said Mother.",mean wife child say mother 
9,"“Yes,” said Phyllis; “it’s the same thing, isn’t it?”",say same thing 
10,"“And we thought we’d make a nice birthday for him. He’s been so awfully jolly decent to us, you know, Mother,” said Peter, “and we agreed that next bun-day we’d ask you if we could.”",think make nice birthday jolly decent know mother say agree next bun day ask 
11,“But suppose there hadn’t been a bun-day before the fifteenth?” said Mother.,suppose be bun day fifteenth say mother 
12,"“Oh, then, we meant to ask you to let us anti--antipate it, and go without when the bun-day came.”",mean ask let antipate go bun day come 
13,"“Anticipate,” said Mother. “I see. Certainly. It would be nice to put his name on the buns with pink sugar, wouldn’t it?”",anticipate say mother see nice put name bun pink sugar 
14,"“Perks,” said Peter, “it’s not a pretty name.”",perk say pretty name 
15,"“His other name’s Albert,” said Phyllis; “I asked him once.”",other name say ask 
16,"“We might put A. P.,” said Mother; “I’ll show you how when the day comes.”",put say mother show day come 
17,This was all very well as far as it went. But even fourteen halfpenny buns with A. P. on them in pink sugar do not of themselves make a very grand celebration.,go halfpenny bun p. pink sugar make grand celebration 
18,"“There are always flowers, of course,” said Bobbie, later, when a really earnest council was being held on the subject in the hay-loft where the broken chaff-cutting machine was, and the row of holes to drop hay through into the hay-racks over the mangers of the stables below.",be flower course say earnest council hold subject hay loft break chaff cutting machine row hole drop hay hay rack manager stable 
19,"“He’s got lots of flowers of his own,” said Peter.",get lot flower own say 
20,"“But it’s always nice to have them given you,” said Bobbie, “however many you’ve got of your own. We can use flowers for trimmings to the birthday. But there must be something to trim besides buns.”",nice have give say many get own use flower trimming birthday be trim bun 
21,"“Let’s all be quiet and think,” said Phyllis; “no one’s to speak until it’s thought of something.”",let quiet think say speak think 
22,"So they were all quiet and so very still that a brown rat thought that there was no one in the loft and came out very boldly. When Bobbie sneezed, the rat was quite shocked and hurried away, for he saw that a hay-loft where such things could happen was no place for a respectable middle-aged rat that liked a quiet life.",quiet brown rat think be loft come sneez rat shocked hurry see hay loft such thing happen place respectable middle aged rat like quiet life 
23,"“Hooray!” cried Peter, suddenly, “I’ve got it.” He jumped up and kicked at the loose hay.",cry get jump kick loose hay 
24,"“What?” said the others, eagerly.",say other 
25,"“Why, Perks is so nice to everybody. There must be lots of people in the village who’d like to help to make him a birthday. Let’s go round and ask everybody.”",perk nice be lot person village like help make birthday let go ask 
26,"“Mother said we weren’t to ask people for things,” said Bobbie, doubtfully.",mother say ask person thing say 
27,"“For ourselves, she meant, silly, not for other people. I’ll ask the old gentleman too. You see if I don’t,” said Peter.",mean silly other person ask old gentleman see say 
28,"“Let’s ask Mother first,” said Bobbie.",let ask mother say 
29,"“Oh, what’s the use of bothering Mother about every little thing?”  said Peter, “especially when she’s busy. Come on. Let’s go down to the village now and begin.”",use bother mother little thing say busy come let go village begin 
30,So they went. The old lady at the Post-office said she didn’t see why Perks should have a birthday any more than anyone else.,go old lady office say see perk have birthday more else 
31,"“No,” said Bobbie, “I should like everyone to have one. Only we know when his is.”",say like have know 
32,"“Mine’s to-morrow,” said the old lady, “and much notice anyone will take of it. Go along with you.”",say old lady much notice take go 
33,So they went.,go 
34,"And some people were kind, and some were crusty. And some would give and some would not. It is rather difficult work asking for things, even for other people, as you have no doubt found if you have ever tried it.",person kind crusty give difficult work ask thing other person have doubt find try 
35,"When the children got home and counted up what had been given and what had been promised, they felt that for the first day it was not so bad. Peter wrote down the lists of the things in the little pocket-book where he kept the numbers of his engines. These were the lists:--",child get count give promise feel first day bad write list thing little pocket book keep number engine list 
36,"     GIVEN.      A tobacco pipe from the sweet shop.      Half a pound of tea from the grocer’s.      A woollen scarf slightly faded from the draper’s, which was the          other side of the grocer’s.      A stuffed squirrel from the Doctor.",given tobacco pipe sweet shop pound tea grocer woollen scarf fade draper other side grocer stuff squirrel 
37,"     PROMISED.      A piece of meat from the butcher.      Six fresh eggs from the woman who lived in the old turnpike cottage.      A piece of honeycomb and six bootlaces from the cobbler, and an          iron shovel from the blacksmith’s.",promise piece meat butcher fresh egg woman live old cottage piece honeycomb bootlace cobbler iron shovel blacksmith 
