id,paragraph,tokens
1,CHAPTER 14. THE HEART’S DESIRE,heart desire 
2,"If I only had time I could tell you lots of things. For instance, how, in spite of the advice of the Psammead, the four children did, one very wet day, go through their Amulet Arch into the golden desert, and there find the great Temple of Baalbec and meet with the Phoenix whom they never thought to see again. And how the Phoenix did not remember them at all until it went into a sort of prophetic trance--if that can be called remembering. But, alas! I HAVEN’T time, so I must leave all that out though it was a wonderfully thrilling adventure. I must leave out, too, all about the visit of the children to the Hippodrome with the Psammead in its travelling bag, and about how the wishes of the people round about them were granted so suddenly and surprisingly that at last the Psammead had to be taken hurriedly home by Anthea, who consequently missed half the performance. Then there was the time when, Nurse having gone to tea with a friend out Ivalunk way, they were playing ‘devil in the dark’--and in the midst of that most creepy pastime the postman’s knock frightened Jane nearly out of her life. She took in the letters, however, and put them in the back of the hat-stand drawer, so that they should be safe. And safe they were, for she never thought of them again for weeks and weeks.",have time tell lot thing instance spite advice child wet day go golden desert find great meet think see remember go sort prophetic trance call remember have time leave thrilling adventure leave visit child travelling bag wish person grant last have take miss performance be time go tea friend way play dark midst creepy pastime postman knock frighten life take letter put back hat stand drawer safe safe think week week 
3,"One really good thing happened when they took the Psammead to a magic-lantern show and lecture at the boys’ school at Camden Town. The lecture was all about our soldiers in South Africa. And the lecturer ended up by saying, ‘And I hope every boy in this room has in his heart the seeds of courage and heroism and self-sacrifice, and I wish that every one of you may grow up to be noble and brave and unselfish, worthy citizens of this great Empire for whom our soldiers have freely given their lives.’",good thing happen take magic lantern show lecture boy school lecture soldier lecturer end say hope boy room have heart seed courage heroism self sacrifice wish one grow noble brave unselfish worthy citizen great soldier give life 
4,"And, of course, this came true--which was a distinct score for Camden Town.",course come true distinct score 
5,"As Anthea said, it was unlucky that the lecturer said boys, because now she and Jane would have to be noble and unselfish, if at all, without any outside help. But Jane said, ‘I daresay we are already because of our beautiful natures. It’s only boys that have to be made brave by magic’--which nearly led to a first-class row.",say unlucky lecturer say boy have noble unselfish outside help say beautiful nature boy have make brave magic lead first class row 
6,"And I daresay you would like to know all about the affair of the fishing rod, and the fish-hooks, and the cook next door--which was amusing from some points of view, though not perhaps the cook’s--but there really is no time even for that.",like know affair fishing rod fish hook cook next door amusing point view cook be time 
7,"The only thing that there’s time to tell about is the Adventure of Maskelyne and Cooke’s, and the Unexpected Apparition--which is also the beginning of the end.",only thing be time tell unexpected beginning end 
8,"It was Nurse who broke into the gloomy music of the autumn rain on the window panes by suggesting a visit to the Egyptian Hall, England’s Home of Mystery. Though they had good, but private reasons to know that their own particular personal mystery was of a very different brand, the four all brightened at the idea. All children, as well as a good many grown-ups, love conjuring.",break gloomy music autumn rain window pane suggest visit egyptian have good private reason know own particular personal mystery different brand brighten idea child good many grow up love conjure 
9,"‘It’s in Piccadilly,’ said old Nurse, carefully counting out the proper number of shillings into Cyril’s hand, ‘not so very far down on the left from the Circus. There’s big pillars outside, something like Carter’s seed place in Holborn, as used to be Day and Martin’s blacking when I was a gell. And something like Euston Station, only not so big.’",say old count proper number shilling hand left be big pillar seed place use black gell big 
10,"‘Yes, I know,’ said everybody.",know say 
