id,paragraph,tokens
1,The Tale of Two Bad Mice Beatrix Potter,bad 
2, BOOK 1.,
3," ONCE upon a time there was a very beautiful doll's-house; it was red brick with white windows, and it had real muslin curtains and a front door and a chimney.",time be beautiful doll house red brick white window have real muslin curtain front door chimney 
4,"IT belonged to two Dolls called Lucinda and Jane; at least it belonged to Lucinda, but she never ordered meals.",belong doll call least belong order meal 
5,"Jane was the Cook; but she never did any cooking, because the dinner had been bought ready-made, in a box full of shavings.",cook do cooking dinner buy ready make box full shaving 
6,,
7,"THERE were two red lobsters and a ham, a fish, a pudding, and some pears and oranges.",red lobster ham fish pudding pear orange 
8,"They would not come off the plates, but they were extremely beautiful.",come plate beautiful 
9,"ONE morning Lucinda and Jane had gone out for a drive in the doll's perambulator. There was no one in the nursery, and it was very quiet. Presently there was a little scuffling, scratching noise in a corner near the fire-place, where there was a hole under the skirting-board.",morning go drive doll perambulator be nursery quiet be little scuffling scratch noise corner fire place be hole skirting board 
10,"Tom Thumb put out his head for a moment, and then popped it in again.",put head moment pop 
11,Tom Thumb was a mouse.,mouse 
12,,
13,"A MINUTE afterwards, Hunca Munca, his wife, put her head out, too; and when she saw that there was no one in the nursery, she ventured out on the oilcloth under the coal-box.",minute wife put head see be nursery venture oilcloth coal box 
14,THE doll's-house stood at the other side of the fire-place. Tom Thumb and Hunca Munca went cautiously across the hearthrug. They pushed the front door--it was not fast.,doll house stand other side fire place go hearthrug push front door fast 
15,,
16,TOM THUMB and Hunca Munca went upstairs and peeped into the dining-room. Then they squeaked with joy!,go peep dining room squeak joy 
17,"Such a lovely dinner was laid out upon the table! There were tin spoons, and lead knives and forks, and two dolly-chairs--all _so_ convenient!",lovely dinner lay table be tin spoon lead knife fork dolly chair _so_ convenient 
18,"TOM THUMB set to work at once to carve the ham. It was a beautiful shiny yellow, streaked with red.",thumb set work carve ham beautiful shiny yellow streak red 
19,The knife crumpled up and hurt him; he put his finger in his mouth.,knife crumple hurt put finger mouth 
20,"""It is not boiled enough; it is hard. You have a try, Hunca Munca.""",boil hard have try 
21,,
22,"HUNCA MUNCA stood up in her chair, and chopped at the ham with another lead knife.",stand chair choppe ham lead knife 
23,"""It's as hard as the hams at the cheesemonger's,"" said Hunca Munca.",hard ham cheesemonger say 
24,"THE ham broke off the plate with a jerk, and rolled under the table.",ham break plate jerk roll table 
25,"""Let it alone,"" said Tom Thumb; ""give me some fish, Hunca Munca!""",let say give fish 
26,,
27,HUNCA MUNCA tried every tin spoon in turn; the fish was glued to the dish.,try tin spoon turn fish glue dish 
28,"Then Tom Thumb lost his temper. He put the ham in the middle of the floor, and hit it with the tongs and with the shovel--bang, bang, smash, smash!",lose temper put ham middle floor hit tong shovel bang bang smash smash 
29,"The ham flew all into pieces, for underneath the shiny paint it was made of nothing but plaster!",ham fly piece shiny paint make plaster 
30,"THEN there was no end to the rage and disappointment of Tom Thumb and Hunca Munca. They broke up the pudding, the lobsters, the pears and the oranges.",be end rage disappointment break pudding lobster pear orange 
31,"As the fish would not come off the plate, they put it into the red-hot crinkly paper fire in the kitchen; but it would not burn either.",fish come plate put red hot crinkly paper fire kitchen burn 
32,,
33,TOM THUMB went up the kitchen chimney and looked out at the top--there was no soot.,go kitchen chimney look top be soot 
34,"WHILE Tom Thumb was up the chimney, Hunca Munca had another disappointment. She found some tiny canisters upon the dresser, labelled--Rice--Coffee--Sago--but when she turned them upside down, there was nothing inside except red and blue beads.",chimney have disappointment find tiny canister dresser label turn be red blue bead 
35,,
36,"THEN those mice set to work to do all the mischief they could--especially Tom Thumb! He took Jane's clothes out of the chest of drawers in her bedroom, and he threw them out of the top floor window.",mouse set work do mischief take clothes chest drawer bedroom throw top floor window 
37,"But Hunca Munca had a frugal mind. After pulling half the feathers out of Lucinda's bolster, she remembered that she herself was in want of a feather bed.",have frugal mind pull feather bolster remember want feather bed 
38,"WITH Tom Thumb's assistance she carried the bolster downstairs, and across the hearth-rug. It was difficult to squeeze the bolster into the mouse-hole; but they managed it somehow.",assistance carry bolster hearth rug difficult squeeze bolster mouse hole manage 
39,,
40,"THEN Hunca Munca went back and fetched a chair, a book-case, a bird-cage, and several small odds and ends. The book-case and the bird-cage refused to go into the mouse-hole.",go fetched chair book case bird cage several small odd end book case bird cage refuse go mouse hole 
41,"HUNCA MUNCA left them behind the coal-box, and went to fetch a cradle.",leave coal box go fetch cradle 
42,,
43,"HUNCA MUNCA was just returning with another chair, when suddenly there was a noise of talking outside upon the landing. The mice rushed back to their hole, and the dolls came into the nursery.",return chair be noise talk landing mouse rush hole doll come nursery 
44,WHAT a sight met the eyes of Jane and Lucinda!,sight meet eye 
45,Lucinda sat upon the upset kitchen stove and stared; and Jane leant against the kitchen dresser and smiled--but neither of them made any remark.,sit upset kitchen stove stare lean kitchen dresser smile make remark 
46,,
47,"THE book-case and the bird-cage were rescued from under the coal-box--but Hunca Munca has got the cradle, and some of Lucinda's clothes.",book case bird cage rescue coal box get cradle clothes 
48,"SHE also has some useful pots and pans, and several other things.",have useful pot pan several other thing 
49,,
50,"THE little girl that the doll's-house belonged to, said,--""I will get a doll dressed like a policeman!""",little girl doll house belong say get doll dress policeman 
51,"BUT the nurse said,--""I will set a mouse-trap!""",nurse say set mouse trap 
52," SO that is the story of the two Bad Mice,--but they were not so very very naughty after all, because Tom Thumb paid for everything he broke.",story bad naughty pay break 
53,"He found a crooked sixpence under the hearthrug; and upon Christmas Eve, he and Hunca Munca stuffed it into one of the stockings of Lucinda and Jane.",find crooked sixpence hearthrug stuff stocking 
54,,
